
TPR	FPR
1.0	0.5
1.0	0.5
1.0	0.625
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.875
1.0	1.0
1.0	1.0
1.0	1.0

TPR	FPR
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0784313725490196	0.0
0.0784313725490196	0.0
0.09803921568627451	0.0
0.17647058823529413	0.0
0.21568627450980393	0.0
0.39215686274509803	0.0
0.4117647058823529	0.0
0.49019607843137253	0.0
0.5294117647058824	0.0
0.6078431372549019	0.0
0.6470588235294118	0.0
0.6862745098039216	0.0
0.7450980392156863	0.0
0.7647058823529411	0.0
0.803921568627451	0.0
0.8235294117647058	0.0
0.8235294117647058	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9607843137254902	0.0
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.5
0.9803921568627451	0.5
1.0	0.5
1.0	0.625
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.875
1.0	1.0
1.0	1.0
1.0	1.0

TPR	FPR
0.0	0.0
0.0	0.0
0.0	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0784313725490196	0.0
0.0784313725490196	0.0
0.11764705882352941	0.0
0.11764705882352941	0.0
0.17647058823529413	0.0
0.21568627450980393	0.0
0.35294117647058826	0.0
0.39215686274509803	0.0
0.47058823529411764	0.0
0.5490196078431373	0.0
0.5686274509803921	0.0
0.6274509803921569	0.0
0.6470588235294118	0.0
0.7450980392156863	0.0
0.7647058823529411	0.0
0.7843137254901961	0.0
0.803921568627451	0.0
0.803921568627451	0.0
0.8431372549019608	0.0
0.8431372549019608	0.0
0.8431372549019608	0.0
0.8431372549019608	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9215686274509803	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.5
0.9803921568627451	0.5
1.0	0.5
1.0	0.5
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	1.0
1.0	1.0
1.0	1.0

TPR	FPR
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.125
0.0	0.125
0.0	0.125
0.0	0.125
0.0	0.125
0.0	0.125
0.058823529411764705	0.125
0.058823529411764705	0.125
0.058823529411764705	0.125
0.09803921568627451	0.125
0.1568627450980392	0.125
0.19607843137254902	0.125
0.29411764705882354	0.125
0.4117647058823529	0.125
0.4117647058823529	0.125
0.45098039215686275	0.125
0.49019607843137253	0.125
0.5294117647058824	0.125
0.5882352941176471	0.125
0.6274509803921569	0.125
0.7058823529411765	0.125
0.7254901960784313	0.125
0.7450980392156863	0.125
0.7647058823529411	0.125
0.803921568627451	0.125
0.803921568627451	0.125
0.803921568627451	0.125
0.803921568627451	0.125
0.803921568627451	0.125
0.8235294117647058	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.8431372549019608	0.125
0.9019607843137255	0.125
0.9215686274509803	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.375
1.0	0.375
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.625
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.875
1.0	0.875
1.0	0.875
1.0	0.875
1.0	1.0
1.0	1.0
1.0	1.0

TPR	FPR
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.11764705882352941	0.0
0.11764705882352941	0.0
0.1568627450980392	0.0
0.29411764705882354	0.0
0.39215686274509803	0.0
0.47058823529411764	0.0
0.5294117647058824	0.0
0.5882352941176471	0.0
0.6666666666666666	0.0
0.7058823529411765	0.0
0.7450980392156863	0.0
0.7450980392156863	0.0
0.803921568627451	0.0
0.803921568627451	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.9215686274509803	0.125
0.9215686274509803	0.125
0.9215686274509803	0.125
0.9215686274509803	0.125
0.9215686274509803	0.125
0.9215686274509803	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.125
0.9411764705882353	0.25
0.9411764705882353	0.25
0.9411764705882353	0.25
0.9411764705882353	0.25
0.9411764705882353	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9607843137254902	0.375
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.375
0.9803921568627451	0.5
0.9803921568627451	0.5
0.9803921568627451	0.5
0.9803921568627451	0.5
0.9803921568627451	0.5
1.0	0.5
1.0	0.625
1.0	0.625
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.875
1.0	1.0
1.0	1.0
1.0	1.0

TPR	FPR
0.0	0.0
0.0	0.0
0.0	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.09803921568627451	0.0
0.09803921568627451	0.0
0.09803921568627451	0.0
0.17647058823529413	0.0
0.29411764705882354	0.0
0.3333333333333333	0.0
0.39215686274509803	0.0
0.47058823529411764	0.0
0.5294117647058824	0.0
0.6078431372549019	0.0
0.6470588235294118	0.0
0.6862745098039216	0.0
0.6862745098039216	0.0
0.6862745098039216	0.0
0.7843137254901961	0.0
0.7843137254901961	0.0
0.803921568627451	0.0
0.8235294117647058	0.0
0.8235294117647058	0.0
0.8235294117647058	0.0
0.8235294117647058	0.0
0.8431372549019608	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
1.0	0.25
1.0	0.25
1.0	0.25
1.0	0.25
1.0	0.25
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.625
1.0	0.625
1.0	0.625
1.0	0.625
1.0	0.625
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.875
1.0	0.875
1.0	0.875
1.0	0.875
1.0	0.875
1.0	0.875
1.0	0.875
1.0	0.875
1.0	1.0
1.0	1.0
1.0	1.0

TPR	FPR
0.0	0.0
0.0	0.0
0.0	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0196078431372549	0.0
0.0784313725490196	0.0
0.0784313725490196	0.0
0.0784313725490196	0.0
0.11764705882352941	0.0
0.2549019607843137	0.0
0.27450980392156865	0.0
0.27450980392156865	0.0
0.3333333333333333	0.0
0.4117647058823529	0.0
0.49019607843137253	0.0
0.5490196078431373	0.0
0.6470588235294118	0.0
0.7058823529411765	0.0
0.7254901960784313	0.0
0.7843137254901961	0.0
0.803921568627451	0.0
0.803921568627451	0.0
0.8235294117647058	0.0
0.8431372549019608	0.0
0.8431372549019608	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8627450980392157	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.8823529411764706	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9019607843137255	0.0
0.9215686274509803	0.0
0.9215686274509803	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9411764705882353	0.0
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.125
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9607843137254902	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
0.9803921568627451	0.25
1.0	0.25
1.0	0.25
1.0	0.25
1.0	0.375
1.0	0.375
1.0	0.375
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.5
1.0	0.625
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	0.75
1.0	1.0
1.0	1.0
1.0	1.0
